1000
1 34903 59 28609
2 15400 48 31973
3 28632 80 36940
4 19083 100 6929
5 5862 99 2033
6 12826 48 5091
7 36345 88 8288
8 994 41 24993
9 18021 97 33057
10 7465 20 26934
11 1983 56 15243
12 6161 34 5863
13 24412 24 19878
14 19028 61 20995
15 29652 60 11497
16 29914 27 34548
17 14369 33 14401
18 568 55 22525
19 2028 26 9406
20 20534 23 19831
21 2275 61 14158
22 21673 49 14568
23 7554 22 3892
24 24591 81 11585
25 28062 40 9322
26 4223 54 36746
27 11566 31 2535
28 4280 79 26765
29 19876 75 4693
30 6369 5 28663
31 1098 81 1866
32 5272 37 14611
33 13635 68 30314
34 32112 54 14076
35 34840 88 24046
36 33781 96 31072
37 35104 52 25543
38 2226 95 14021
39 22813 79 3360
40 7326 93 35195
41 11788 1 25051
42 7344 86 13564
43 32879 55 13254
44 1316 10 27563
45 21788 83 30684
46 28137 20 12657
47 32665 7 24034
48 15205 68 29744
49 8306 26 16099
50 12872 98 22803
51 5531 15 32487
52 19889 93 22711
53 6588 6 13395
54 10127 3 16094
55 16850 67 2035
56 31130 23 15239
57 14428 92 8785
58 34537 75 3375
59 5962 6 20742
60 25375 77 5343
61 11469 90 25861
62 15221 25 13656
63 24178 66 14230
64 8779 17 34291
65 18574 88 7705
66 32135 80 19667
67 17032 82 24052
68 11616 22 8838
69 950 61 21262
70 2534 83 24473
71 13518 98 29866
72 18 17 15130
73 15024 27 30838
74 21767 97 18112
75 13881 90 30390
76 33348 9 30298
77 13312 92 4169
78 79 1 9617
79 4859 7 22611
80 5275 17 14115
81 569 86 22988
82 30676 73 21478
83 27263 68 32273
84 13526 32 4484
85 2761 73 24192
86 26454 68 34425
87 19784 48 12445
88 15698 31 27823
89 3052 37 27108
90 36798 65 12230
91 14961 30 26935
92 33317 14 7443
93 33357 94 33562
94 8074 32 6995
95 25265 17 22539
96 16845 60 1498
97 21259 64 2268
98 8385 95 27129
99 28824 72 18723
100 4087 29 26187
101 14465 22 26924
102 34401 69 1420
103 22668 28 21517
104 13953 25 26146
105 25720 28 36806
106 27857 47 12320
107 4298 23 21241
108 13002 19 25980
109 15336 54 7244
110 11125 59 10882
111 25568 37 6502
112 3809 51 32048
113 23843 51 7408
114 8616 38 22762
115 20890 15 3354
116 18106 27 2809
