50
1 1753 91 1773
2 586 63 681
3 856 45 71
4 721 24 555
5 1812 70 186
6 793 29 184
7 779 50 1367
8 264 47 1331
9 763 67 1308
10 1006 22 381
11 545 1 63
12 922 81 754
13 970 31 1470
14 766 100 1091
15 1292 26 17
16 1445 18 214
17 1324 33 651
18 184 35 1044
19 1733 2 1131
20 1420 85 1477
21 582 24 828
22 564 11 1502
23 744 81 360
24 320 2 1206
25 1658 58 361
26 1186 48 898
27 784 90 320
28 1658 49 1562
29 296 40 992
30 232 56 1439
31 1492 97 162
32 670 23 1340
33 1165 60 611
34 532 67 1658
35 1144 19 54
36 568 48 1745
37 1165 68 483
38 874 70 311
39 464 84 226
40 732 10 861
41 1009 79 600
42 822 5 66
43 139 47 816
44 73 63 1693
45 616 99 522
46 1448 69 1273
47 997 86 1777
48 502 40 551
49 1397 6 44
50 1769 60 1466
