50
1 833 65 79
2 366 98 1706
3 863 57 1288
4 361 15 1444
5 319 20 1097
6 1234 48 969
7 877 34 284
8 798 23 285
9 1013 57 1294
10 1156 23 159
11 1119 59 483
12 676 92 1338
13 1216 39 1627
14 888 10 19
15 1498 7 76
16 1678 99 740
17 293 70 456
18 1448 97 595
19 1615 73 1344
20 1119 66 1135
21 1366 68 1441
22 1552 80 1454
23 1041 46 1462
24 1599 3 1847
25 146 73 678
26 967 16 1461
27 1632 73 1767
28 653 56 751
29 580 75 938
30 957 99 145
31 3 33 472
32 710 13 1589
33 1456 21 677
34 1308 84 846
35 775 4 555
36 1367 38 1614
37 1674 88 1450
38 268 66 778
39 910 8 1185
40 1229 15 1418
41 934 38 837
42 1799 58 161
43 1620 18 1561
44 188 80 1146
45 530 28 1372
46 28 20 571
47 1067 30 1451
48 1652 24 167
49 838 63 1260
50 274 52 1271
