100
1 1084 64 3042
2 1703 2 2289
3 1611 96 1011
4 3278 51 1548
5 1322 16 2172
6 2708 27 1695
7 1472 34 2626
8 1877 58 2000
9 1828 30 721
10 1518 62 950
11 280 96 3608
12 3641 30 291
13 211 65 2654
14 178 38 1336
15 3398 74 754
16 1036 61 1739
17 3694 53 2476
18 2112 67 1661
19 2654 42 3514
20 1 53 2357
21 693 90 2099
22 1006 65 431
23 351 31 2204
24 3447 39 880
25 707 30 332
26 2486 44 3651
27 3673 93 2590
28 3080 92 1486
29 2434 68 3458
30 1608 20 3411
31 1367 77 2884
32 1074 53 331
33 312 25 2867
34 2696 88 3145
35 160 13 3650
36 3350 64 2306
37 3378 7 508
38 3433 41 2629
39 2345 68 1793
40 1936 78 517
41 155 30 860
42 1663 50 2392
43 996 60 2398
44 3259 34 3592
45 948 85 564
46 2036 42 2312
47 3008 99 837
48 843 8 3451
49 1292 35 3454
50 1951 84 328
51 560 70 1165
52 3553 49 898
53 2220 65 106
54 1082 91 1985
55 2012 2 982
56 61 41 1166
57 1766 49 1866
58 2127 97 3116
59 830 4 612
60 1574 89 3006
61 1281 1 1046
62 2525 75 2013
63 2833 23 672
64 345 52 2332
65 3154 24 1316
66 1933 41 1054
67 1637 2 2989
68 2996 90 3281
69 3571 53 590
70 80 13 212
71 3531 46 1499
72 3675 21 1774
73 1522 56 866
74 262 3 1558
75 3560 42 2431
76 1666 36 51
77 1146 62 1848
78 3368 72 1553
79 2200 100 1726
80 2361 53 2351
81 3521 21 2523
82 929 82 2247
83 2706 46 825
84 266 52 3656
85 1598 62 2464
86 866 59 1060
87 2636 99 2007
88 3037 41 1896
89 2838 9 2851
90 1720 9 2482
91 1909 75 1585
92 2467 25 3268
93 2332 69 850
94 670 43 3590
95 3075 29 966
96 2226 46 2770
97 296 10 3357
98 365 5 1328
99 3008 40 2606
100 2285 21 3389
